	Kingdom	Phylum	SGB
uSGB_40333_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40315_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40329_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40361_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40293_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_44380_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_63930_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40292_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_35933_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_48121_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_35665_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40359_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40353_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_2103_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40313_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_35937_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_60120_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40369_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40318_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_2107_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40345_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40357_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40332_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40289_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_63919_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_20006_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_2275_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40183_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40321_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_2230_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_48357_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_14930_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
