"sample","Group","Location","Gender","SamplingLocation","Age","sample_id","new_sample_label"
"Bahti_H19","WildMice","CH_UZH","Male","Feces","Adult","Zurich_16","CH_UZH_19_F"
"Bahti_H2","WildMice","CH_UZH","Male","Feces","Adult","Zurich_17","CH_UZH_2_F"
"Bahti_H20","WildMice","CH_UZH","Male","Feces","Adult","Zurich_18","CH_UZH_20_F"
"Bahti_H3","WildMice","CH_UZH","Female","Feces","Adult","Zurich_19","CH_UZH_3_F"
"Bahti_H5","WildMice","CH_UZH","Male","Feces","Adult","Zurich_21","CH_UZH_5_F"
"Bahti_H6","WildMice","CH_UZH","Female","Feces","Adult","Zurich_22","CH_UZH_6_F"
"Bahti_H7","WildMice","CH_UZH","Female","Feces","Adult","Zurich_23","CH_UZH_7_F"
"W1308","WildMice","CH_UZH","Female","Feces","Adult","Zurich_36","CH_UZH_343_F"
"W1309","WildMice","CH_UZH","Female","Feces","Adult","Zurich_37","CH_UZH_344_F"
"W1310","WildMice","CH_UZH","Female","Feces","Adult","Zurich_38","CH_UZH_346_F"
"W1311","WildMice","CH_UZH","Female","Feces","Adult","Zurich_39","CH_UZH_347_F"
"W1312","WildMice","CH_UZH","Female","Feces","Adult","Zurich_40","CH_UZH_348_F"
"W1314","WildMice","CH_UZH","Female","Feces","Adult","Zurich_41","CH_UZH_350_F"
"W1315","WildMice","CH_UZH","Male","Feces","Adult","Zurich_42","CH_UZH_351_F"
"W1317","WildMice","CH_UZH","Female","Feces","Adult","Zurich_43","CH_UZH_353_F"
"W1318","WildMice","CH_UZH","Female","Feces","Adult","Zurich_44","CH_UZH_354_F"
"W1321","WildMice","CH_UZH","Female","Feces","Adult","Zurich_46","CH_UZH_358_F"
"W1323","WildMice","CH_UZH","Female","Feces","Adult","Zurich_48","CH_UZH_360_F"
"W1324","WildMice","CH_UZH","Male","Feces","Adult","Zurich_49","CH_UZH_361_F"
"W1326","WildMice","CH_UZH","Male","Feces","Adult","Zurich_51","CH_UZH_363_F"
"W1327","WildMice","CH_UZH","Female","Feces","Adult","Zurich_52","CH_UZH_364_F"
"W1330","WildMice","CH_UZH","Female","Feces","Adult","Zurich_53","CH_UZH_368_F"
"W1332","WildMice","CH_UZH","Female","Feces","Adult","Zurich_54","CH_UZH_370_F"
"W1333","WildMice","CH_UZH","Female","Feces","Adult","Zurich_55","CH_UZH_371_F"
"W1335","WildMice","CH_UZH","Female","Feces","Adult","Zurich_56","CH_UZH_373_F"
"W1336","WildMice","CH_UZH","Male","Feces","Adult","Zurich_57","CH_UZH_374_F"
"W1337","WildMice","CH_UZH","Male","Feces","Adult","Zurich_58","CH_UZH_375_F"
"W1340","WildMice","CH_UZH","Male","Feces","Adult","Zurich_59","CH_UZH_379_F"
"W1341","WildMice","CH_UZH","Male","Feces","Adult","Zurich_60","CH_UZH_380_F"
"W1343","WildMice","CH_UZH","Male","Feces","Adult","Zurich_61","CH_UZH_382_F"
"W1350","WildMice","CH_UZH","Female","Feces","Adult","Zurich_64","CH_UZH_390_F"
"W1351","WildMice","CH_UZH","Female","Feces","Adult","Zurich_65","CH_UZH_391_F"
