	Gender	Content	Group	Location
W63	Male	Cecum	SPF	Gothenburg
W64	Male	Cecum	SPF	Gothenburg
W65	Male	Cecum	SPF	Gothenburg
W66	Male	Cecum	SPF	Gothenburg
W67	Male	Cecum	SPF	Gothenburg
Sweden1	Male	Feces	SPF	Gothenburg
Sweden2	Male	Feces	SPF	Gothenburg
Sweden3	Male	Feces	SPF	Gothenburg
Sweden4	Male	Feces	SPF	Gothenburg
SK1	Unknown	Feces	WildMice	UK1
SK10	Unknown	Feces	WildMice	UK1
SK16	Unknown	Feces	WildMice	UK1
SK17	Unknown	Feces	WildMice	UK1
SK18	Unknown	Feces	WildMice	UK1
SK2	Unknown	Feces	WildMice	UK2
SK3	Unknown	Feces	WildMice	UK2
SK4	Unknown	Feces	WildMice	UK2
SK5	Unknown	Feces	WildMice	UK2
W103	Male	Cecum	WildMice	Zurich
W104	Male	Cecum	WildMice	Zurich
W105	Male	Cecum	WildMice	Zurich
W106	Male	Cecum	WildMice	Zurich
W107	Male	Cecum	WildMice	Zurich
Bahti_H1	Male	Feces	WildMice	Zurich
Bahti_H12	Female	Feces	WildMice	Zurich
Bahti_H13	Female	Feces	WildMice	Zurich
Bahti_H14	Female	Feces	WildMice	Zurich
Bahti_H15	Female	Feces	WildMice	Zurich
Bahti_H16	Male	Feces	WildMice	Zurich
Bahti_H17	Female	Feces	WildMice	Zurich
Bahti_H18	Male	Feces	WildMice	Zurich
Bahti_H19	Male	Feces	WildMice	Zurich
Bahti_H2	Male	Feces	WildMice	Zurich
Bahti_H20	Male	Feces	WildMice	Zurich
Bahti_H3	Female	Feces	WildMice	Zurich
Bahti_H4	Male	Feces	WildMice	Zurich
Bahti_H5	Male	Feces	WildMice	Zurich
Bahti_H6	Female	Feces	WildMice	Zurich
Bahti_H7	Female	Feces	WildMice	Zurich
Bahti_H8	Female	Feces	WildMice	Zurich
Bahti_H9	Female	Feces	WildMice	Zurich
W1308	Unknown	Feces	WildMice	Zurich
W1309	Unknown	Feces	WildMice	Zurich
W1310	Unknown	Feces	WildMice	Zurich
W1311	Unknown	Feces	WildMice	Zurich
W1312	Unknown	Feces	WildMice	Zurich
W1314	Unknown	Feces	WildMice	Zurich
W1315	Unknown	Feces	WildMice	Zurich
W1317	Unknown	Feces	WildMice	Zurich
W1318	Unknown	Feces	WildMice	Zurich
W1319	Unknown	Feces	WildMice	Zurich
W1321	Unknown	Feces	WildMice	Zurich
W1322	Unknown	Feces	WildMice	Zurich
W1323	Unknown	Feces	WildMice	Zurich
W1324	Unknown	Feces	WildMice	Zurich
W1325	Unknown	Feces	WildMice	Zurich
W1326	Unknown	Feces	WildMice	Zurich
W1327	Unknown	Feces	WildMice	Zurich
W1330	Unknown	Feces	WildMice	Zurich
W1332	Unknown	Feces	WildMice	Zurich
W1333	Unknown	Feces	WildMice	Zurich
W1335	Unknown	Feces	WildMice	Zurich
W1336	Unknown	Feces	WildMice	Zurich
W1337	Unknown	Feces	WildMice	Zurich
W1340	Unknown	Feces	WildMice	Zurich
W1341	Unknown	Feces	WildMice	Zurich
W1343	Unknown	Feces	WildMice	Zurich
W1344	Unknown	Feces	WildMice	Zurich
W1347	Unknown	Feces	WildMice	Zurich
W1350	Unknown	Feces	WildMice	Zurich
W1351	Unknown	Feces	WildMice	Zurich
Human1	Male	Feces	Human	Human
Human2	Male	Feces	Human	Human
Human3	Male	Feces	Human	Human
Human4	Female	Feces	Human	Human
Human5	Male	Feces	Human	Human
Human6	Female	Feces	Human	Human
Human7	Female	Feces	Human	Human
Human8	Female	Feces	Human	Human
Human9	Male	Feces	Human	Human
Human10	Male	Feces	Human	Human
Human11	Male	Feces	Human	Human
Human12	Male	Feces	Human	Human
Human13	Female	Feces	Human	Human
Human14	Female	Feces	Human	Human
Human15	Female	Feces	Human	Human
Human16	Female	Feces	Human	Human
